Description,polarity,Sentiment
best villa available sale brokerage involve post owner grab property sale one top location property price unit monthly maintenance carpet area unit square area square bathroom ideal location young property close blue star school prof matriculation school facility also close,0.48333333333333334,Positive
independent house sale owner list property thus brokerage involve independent house promise investment destination might chance grab best property sale independent house available reasonable price spacious property spread square area square property provision bathroom property auspiciously,0.26666666666666666,Positive
apartment sale property investment location tastefully design unit among best brokerage property property post directly owner contact property floor total number apartment price apartment best property spacious area square carpet area square,0.525,Positive
look good villa property one popular brokerage property villa available modern unit area square bathroom close best hospital hospital hospital establish school gateway international school upscale school also,0.4833333333333332,Positive
apartment sale unit available premium best price property post owner brokerage involve contact desire purchase floor total number price apartment good spacious apartment unit carpet area square area square bathroom property walk distance fertility,0.5249999999999999,Positive
independent house sale post owner brokerage involve beautifully design unit one desire contact information price independent house maintenance come unit area square carpet area square provision bathroom residential property near matriculation higher secondary school govern,0.15,Positive
best apartment available sale brokerage involve post owner grab property sale one top location situate floor total number apartment property price unit area square ideal location young property close higher secondary school senior secondary junior college elite matric higher secondary school facility,0.22727272727272732,Positive
look apartment sale search buy property location owner list property brokerage involve floor build area property square bathroom number repute vicinity academy matriculation higher secondary school international institute hotel management higher secondary school medical facility also,-0.016666666666666663,Negative
look apartment sale search buy property location owner list property brokerage involve floor apartment available reasonable price maintenance property build area property square spacious family property carpet area square bathroom number repute vicinity lady,0.30000000000000004,Positive
look apartment sale search buy property location owner list property brokerage involve floor apartment available reasonable price maintenance property build area property square spacious family property carpet area square bathroom number repute vicinity,0.30000000000000004,Positive
apartment sale owner list property thus brokerage involve apartment promise investment destination might chance grab best property sale property floor total number apartment available reasonable price area square strategic location many repute nearby like,0.41999999999999993,Positive
apartment sale post owner brokerage involve beautifully design unit one desire contact information unit floor property price apartment unit area square provision bathroom residential property near matriculation higher secondary school matriculation higher secondary school,0.14166666666666664,Positive
one property available sale apartment post directly owner make floor build price apartment apartment spacious area square carpet area square bathroom property quick distance away best public school new gen school rapid chess academy also close good repute,0.38138528138528144,Positive
apartment sale property investment location tastefully design unit among best brokerage property property post directly owner contact property floor total number apartment price apartment best property spacious area square repute,0.525,Positive
apartment sale property investment location tastefully design unit among best brokerage property property post directly owner contact property floor total number apartment price apartment best property spacious area square repute,0.525,Positive
one property available sale villa post directly owner make price villa move property include maintenance villa spacious area square carpet area square bathroom property quick distance away best school sacred heart matriculation higher secondary school government primary high,0.29291666666666666,Positive
luxury beach face upgrade superior start glimpse enjoy ready move apartment fully furnish luxury apartment swim pool gym private play area clubhouse garden yoga security water bath many like boat house famous property look good apartment property,0.42857142857142855,Positive
one property available sale independent house post directly owner make price independent house move property include maintenance independent house spacious area square carpet area square bathroom property quick distance away best matriculation higher secondary school lady matric,0.1981481481481481,Positive
property sale independent house promise location property post owner brokerage involve independent price area square property bathroom independent house strategically within close distance famous veterinary hospital speciality government hospital like international institute hotel management high school,0.11,Positive
look good apartment anna west property one popular brokerage property property floor total number apartment available modern unit area square close best medical anna hospital medical foundation establish matriculation higher secondary school matriculation higher secondary school,0.2333333333333333,Positive
best apartment available sale brokerage involve post owner grab property sale one top location situate floor total number apartment property price unit area square bathroom property good view ideal location young property close lady matriculation school matriculation,0.5142857142857142,Positive
property sale apartment promise location property post owner brokerage involve floor total number build price apartment spacious unit carpet area square ideal area square property bathroom unit good view north face property apartment strategically within close distance,0.5333333333333333,Positive
look good apartment property one popular brokerage property property floor total number apartment available modern unit area square bathroom close best fortis hospital fertility hospital speciality establish higher secondary school pink fitness ladies gym,0.3055555555555555,Positive
apartment sale property investment location tastefully design unit among best brokerage property property post directly owner contact property floor total number apartment price apartment monthly maintenance come best property spacious area square,0.525,Positive
property sale apartment promise location property post owner brokerage involve floor total number build price also need pay towards maintenance apartment spacious unit carpet area square ideal area square property bathroom unit good view southeast face property,0.5333333333333333,Positive
property sale apartment promise location property post owner brokerage involve floor total number build price area square apartment strategically within close distance famous health eye hospital super speciality hospital like school school senior secondary,0.1333333333333333,Positive
best villa available sale brokerage involve post owner grab property sale one top location property price unit area square ideal location young property close school school senior secondary school facility also close hand health eye hospital super speciality hospital nearby,0.41904761904761906,Positive
independent house sale property investment location tastefully design unit among best brokerage property property post directly owner contact price independent house best property spacious area square repute speciality like international fertility,0.35000000000000003,Positive
apartment sale property investment location tastefully design unit among best brokerage property property post directly owner contact property floor total number apartment monthly maintenance come best property spacious area square carpet area square,0.525,Positive
look villa sale search buy property location owner list property brokerage involve villa available reasonable price maintenance property build area property square number repute vicinity matriculation higher secondary school academy senior secondary school government high school medical facility also close,0.05857142857142857,Positive
independent house sale unit available premium best price property post owner brokerage involve contact desire purchase price independent house area square bathroom thoroughly secure premise facility property walk distance fertility hospital hospital,0.36,Positive
property sale anna apartment promise location property post owner brokerage involve floor total number build price also need pay towards maintenance apartment spacious unit carpet area square ideal area square property bathroom apartment strategically within close distance,0.45,Positive
apartment sale property investment location tastefully design unit among best brokerage property property post directly owner contact property floor total number apartment price apartment monthly maintenance come best property spacious area,0.525,Positive
property sale apartment promise location property post owner brokerage involve floor total number build price area square property bathroom apartment strategically within close distance famous sugan hospital hospital hospital like school school mary,0.25,Positive
independent house sale unit available premium best price property post owner brokerage involve contact desire purchase price independent house project also pay monthly maintenance good spacious independent house unit carpet area square area square bathroom,0.3499999999999999,Positive
apartment sale property investment location tastefully design unit among best brokerage property property post directly owner contact property floor total number apartment monthly maintenance come best property spacious area square bathroom,0.525,Positive
apartment sale owner list property thus brokerage involve apartment promise investment destination might chance grab best property sale property floor total number apartment available reasonable price also need pay maintenance area square strategic location many repute,0.41999999999999993,Positive
apartment sale post owner brokerage involve beautifully design unit one desire contact information unit floor property price apartment maintenance come unit area square carpet area square property excellent view provision bathroom,0.925,Positive
apartment sale property investment location tastefully design unit among best brokerage property property post directly owner contact property floor total number apartment price apartment best property spacious area square repute,0.525,Positive
